item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
AADHAAR-COMMENCEMENT-1-10-24-47	S.O. 2927(E), 12-9-2016 — commencement of ss. 1 to 10 and 24 to 47 of the Aadhaar Act, 2016	Enforcement of provisions of sections 1 to 10 and 24 to 47 of the Aadhaar Act, 2016	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF; only 29% of this document extracts as readable English — its Hindi is set in a legacy non-Unicode font and is not quotable at all; the English passages are sound and each declared quotation was checked in place	India Code 123456789/504689	eng	https://indiacode.gov.in/handle/123456789/504689	2026-09-16	application/pdf	1714	e5094162c7f912b2069f67861f24af109d6fcbffd9d7d3a124d3105326f1c469
AADHAAR-COMMENCEMENT-11-20-22-23-48-59	S.O. 2357(E), 12-7-2016 — commencement of ss. 11 to 20, 22 to 23 and 48 to 59 of the Aadhaar Act, 2016	Enforcement of provisions of sections 11 to 20, 22 to 23 and sections 48 to 59 of the Aadhaar Act, 2016	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF; only 50% of this document extracts as readable English — its Hindi is set in a legacy non-Unicode font and is not quotable at all; the English passages are sound and each declared quotation was checked in place	India Code 123456789/504683	eng	https://indiacode.gov.in/handle/123456789/504683	2026-09-16	application/pdf	3079	d28a2c4b7c9d6f013d40487a861561116bffb9cf6558e82db712db0a79417a53
AOV-REGS-2021	Aadhaar (Authentication and Offline Verification) Regulations, 2021, as amended to 9-12-2025	The Aadhaar (Authentication and Offline Verification) Regulations, 2021	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	[Updated as on 09.12.2025]	eng	https://indiacode.gov.in/handle/123456789/507089	2026-09-16	application/pdf	76946	a3924bf71569d73c4d77139865fe6113beefe302b4bf0b968159bd245cfe70e1
CONSTITUTION-2026	Constitution of India (English, as published by India Code, 2026)	The Constitution of India in English 2026	constitutional	in-force		authoritative		extracted by the publisher from a watermarked PDF	India Code 123456789/618394	eng	https://indiacode.gov.in/handle/123456789/618394	2026-09-16	application/pdf	851045	6cd88d5c68491d399a5b7e309072e3be5cb94befdb12282461cda4153ebe3a2a
DATA-SECURITY-REGS-2016	Aadhaar (Data Security) Regulations, 2016	The Aadhaar (Data Security) Regulations, 2016.	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	India Code 123456789/507088	eng	https://indiacode.gov.in/handle/123456789/507088	2026-09-16	application/pdf	10500	89a6f634394a1952b3035d9d47ae3355cfab62df464ba3a05a64e618b914f664
DPDP-COMMENCEMENT-2025	G.S.R. 843(E), 13-11-2025 — commencement of the Digital Personal Data Protection Act, 2023	Enforcement Timeline for the DPDP Act	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	India Code 123456789/504682	eng	https://indiacode.gov.in/handle/123456789/504682	2026-09-16	application/pdf	4473	42f14e8a05279cb6cd3fa971358e8a3ba97d0bb448df08ec8976cfe28d2cacce
DPDP-RULES-2025	Digital Personal Data Protection Rules, 2025 (G.S.R. 843(E) series, 13-11-2025)	Digital Personal Data Protection (DPDP) Rules, 2025	delegated	not-yet-applicable	Phased commencement by their own rule 1: rules 1, 2 and 17 to 21 from 13-11-2025, rule 4 from 13-11-2026, and rules 3, 5 to 16, 22 and 23 from 13-5-2027. The instrument is stored whole, so most of what it contains is not yet in application.	authoritative		our own extraction, because India Code's stops at 100000 characters; isolated 'India Code' watermark fragments appear on lines of their own	India Code 123456789/510190	eng	https://indiacode.gov.in/handle/123456789/510190	2026-09-16	application/pdf	205471	c54ce5a00fe6914d46c45e4dc3dc2ed4ba58b5b7b5e005fef2f0e370ccbdf788
ENROLMENT-REGS-2016	Aadhaar (Enrolment and Update) Regulations, 2016	The Aadhaar (Enrolment and Update) Regulations, 2016	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	India Code 123456789/507087	eng	https://indiacode.gov.in/handle/123456789/507087	2026-09-16	application/pdf	176966	547936423e065ba5f4352c911b3a04f2fd34c1719fe6a52df60350a1aba73ba6
SHARING-REGS-2016	Aadhaar (Sharing of Information) Regulations, 2016	The Aadhaar (Sharing of Information) Regulations, 2016	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	India Code 123456789/507092	eng	https://indiacode.gov.in/handle/123456789/507092	2026-09-16	application/pdf	11474	63af72353064adeb1d3f27685e0658badc7734f46fcbc5e09239dad2c2052736
SWIK-RULES-2020	Aadhaar Authentication for Good Governance (Social Welfare, Innovation, Knowledge) Rules, 2020, as amended to 31-1-2025	The Aadhaar Authentication for Good Governance (Social Welfare, Innovation, Knowledge) Rules, 2020	delegated	in-force		authoritative		extracted by the publisher from a watermarked PDF	[Updated as on 1.4.2025]	eng	https://indiacode.gov.in/handle/123456789/510201	2026-09-16	application/pdf	4675	3ea53434254bd1a9e974c8017b6def23d2b71493f92d1aa325f6e01ef18ac629
